Date Posted,Link,Text,Region
2/24/2020,https://www.poynter.org/?ifcn_misinformation=video-says-president-donald-trump-spawned-the-wuhan-super-virus-outbreak-under-code-name-zyphr," Video says President Donald Trump spawned the ""Wuhan super virus outbreak under code name 'zyphr.'""		",United States
2/25/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-was-found-in-horses," Coronavirus was found in horses.		",Europe
2/25/2020,https://www.poynter.org/?ifcn_misinformation=indian-government-and-world-health-organization-advised-people-to-not-purchase-colours-from-china-for-holi," Indian Government and the WHO advised people not to purchase colors from China for Holi.		",India
2/25/2020,https://www.poynter.org/?ifcn_misinformation=china-needs-coronavirus-swat-special-weapons-and-tactics-police-team-to-arrest-this-drop-dead-virus-victim," China needs coronavirus SWAT (special weapons and tactics) police teams to arrest this coronavirus victim.		",India
2/25/2020,https://www.poynter.org/?ifcn_misinformation=in-poland-people-who-are-not-insured-have-to-pay-for-medical-test-for-coronavirus-so-if-they-cant-afford-it-they-will-spread-it," In Poland, people who are not insured have to pay for coronavirus testing, so if they can't afford it, they will spread it.		",Europe
2/25/2020,https://www.poynter.org/?ifcn_misinformation=bats-that-hide-under-wuhan-rooftops-caused-the-covid-19-outbreak-2," Bats that hide under Wuhan rooftops caused the COVID-19 outbreak.		",Europe
2/25/2020,https://www.poynter.org/?ifcn_misinformation=video-of-a-road-traffic-control-in-china-to-detect-people-infected-with-coronavirus," Video of a road traffic control in China to detect people infected with coronavirus.		",Europe
2/25/2020,https://www.poynter.org/?ifcn_misinformation=bats-that-hide-under-wuhan-rooftops-caused-the-covid-19-outbreak," Bats that hide under Wuhan rooftops caused the COVID-19 outbreak.		",Europe
2/25/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-bioweapon-leaked-from-wuhan-lab," Coronavirus is a bioweapon leaked from a Wuhan lab.		",United States
2/25/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-patients-are-being-cremated-alive-in-china," Coronavirus patients are being ""cremated alive"" in China.		",United States
2/25/2020,https://www.poynter.org/?ifcn_misinformation=evidence-indicates-covid-19-virus-escaped-a-chinese-lab-that-was-researching-it-thus-causing-the-outbreak," Evidence indicates COVID-19 escaped a Chinese lab that was researching it, causing the outbreak.		",United States
2/25/2020,https://www.poynter.org/?ifcn_misinformation=said-the-mortality-rate-for-the-flu-is-right-around-that-of-the-new-coronavirus-its-right-around-2," The mortality rate for the flu is ""right around"" that of the new coronavirus",United States
2/25/2020,https://www.poynter.org/?ifcn_misinformation=trump-claims-that-virus-is-under-control-and-testing-is-available," President Trump claims the virus is under control and testing is available.		",United States
2/26/2020,https://www.poynter.org/?ifcn_misinformation=china-took-advantage-of-the-coronavirus-crisis-to-buy-back-stocks-of-its-technology-companies-belonging-to-foreign-investors," China took advantage of the coronavirus crisis to buy back stocks from its technology companies belonging to foreign investors.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=is-it-useful-to-close-borders-to-stop-the-outbreak," Is it useful to close borders to stop the outbreak?		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=italian-red-cross-gives-the-recipe-for-making-amuchina-hand-sanitizer-at-home," Italian Red Cross gives the recipe for making amuchina (hand sanitizer) at home.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=a-letter-from-an-uncle-in-wuhan-claims-covid-19-can-be-cured-with-hot-water," A ""letter"" from an uncle in Wuhan claims COVID-19 can be cured with hot water.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=an-information-about-a-man-allegedly-selling-medical-masks-for-80-denars-on-a-bus-owned-by-the-skopje-public-transportation-enterprise," A man is allegedly selling medical masks for 80 denars on a bus owned by the Skopje Public Transportation Enterprise.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=letters-and-packages-sent-from-china-can-be-a-way-of-infection," Letters and packages sent from China can cause coronavirus infection.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=face-masks-are-a-good-protection-system-against-coronavirus," Face masks are a good protection against the coronavirus.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=the-new-coronavirus-was-registered-in-2004," The new coronavirus was registered in 2004.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=school-has-been-suspended-in-catalonia-until-march-2," School has been suspended in Catalonia until 3/2/20.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=new-cases-of-coronavirus-in-madrid-linked-to-two-universities-and-a-club," New cases of coronavirus in Madrid are linked to two universities and a club.		",Europe
2/26/2020,https://www.poynter.org/?ifcn_misinformation=two-cases-confirmed-of-coronavirus-in-huelva-andalucia-february-26th," Two cases are confirmed of coronavirus in Huelva, Andaluc¡a (2/26/20)		",Europe
